data,model,block_size,perplexity
pg19,big_rope,2048,39.608302803808215
arxiv,big_rope,2048,12.256671186894716
github,big_rope,2048,7.169492877616078
pg19,big_rope,3072,72.9834119342197
arxiv,big_rope,3072,28.566987505745377
github,big_rope,3072,19.536556766151588
pg19,big_rope,4096,104.84379149216791
arxiv,big_rope,4096,47.697916342164724
github,big_rope,4096,36.14209070646963
pg19,big_rope,5120,129.55836189905503
arxiv,big_rope,5120,68.00693854494064
github,big_rope,5120,54.61273125881603
pg19,big_rope,6144,150.95526113857872
arxiv,big_rope,6144,89.23521845161088
github,big_rope,6144,75.84428998750833
pg19,rope,2048,39.528407715888264
arxiv,rope,2048,12.392382581919877
github,rope,2048,7.202472444771934
pg19,rope,3072,75.91274575326752
arxiv,rope,3072,29.27062025995126
github,rope,3072,19.60485790101893
pg19,rope,4096,113.05363567515762
github,rope,4096,36.500972894286946
pg19,rope,5120,142.44008177276783
arxiv,rope,5120,70.58716543490091
github,rope,5120,55.354908430261425
pg19,rope,6144,168.14671833349274
arxiv,rope,6144,93.2548897779138
github,rope,6144,77.4127220369246
pg19,20000_ada_rope,2048,64.52875380897295
arxiv,20000_ada_rope,2048,25.09195539837867
github,20000_ada_rope,2048,16.599434198967785
pg19,20000_ada_rope,3072,90.96945547773136
arxiv,20000_ada_rope,3072,43.52694969758829
github,20000_ada_rope,3072,32.421529994982016
pg19,20000_ada_rope,4096,110.71451553043948
arxiv,20000_ada_rope,4096,59.9427242881476
github,20000_ada_rope,4096,48.82227644310103
pg19,20000_ada_rope,5120,125.34583812380653
arxiv,20000_ada_rope,5120,74.54690666372348
github,20000_ada_rope,5120,63.95604000573465
pg19,20000_ada_rope,6144,138.3715706742296
arxiv,20000_ada_rope,6144,87.76571081908222
github,20000_ada_rope,6144,78.79051950951936
pg19,100000_ada_rope,2048,44.471792767486136
arxiv,100000_ada_rope,2048,13.30420522748722
github,100000_ada_rope,2048,8.575230379590026
pg19,100000_ada_rope,3072,56.93450593031246
arxiv,100000_ada_rope,3072,21.17075290731155
github,100000_ada_rope,3072,15.301123457118194
pg19,100000_ada_rope,4096,70.10524520255912
arxiv,100000_ada_rope,4096,30.93799070665158
github,100000_ada_rope,4096,24.034380378452465
pg19,100000_ada_rope,5120,82.17950852528857
arxiv,100000_ada_rope,5120,41.372491178049664
github,100000_ada_rope,5120,34.10697520977768
pg19,100000_ada_rope,6144,93.18288041171424
arxiv,100000_ada_rope,6144,51.94807516351325
github,100000_ada_rope,6144,44.99442448893424

