data,model,block_size,perplexity
pg19,rope,1024,21.081635570943064
arxiv,rope,1024,6.5222503643949805
github,rope,1024,3.46873395477536
github,rope,2048,8.549724475898378
pg19,rope,3072,110.95196782974521
arxiv,rope,3072,45.77382169239196
github,rope,3072,30.95927095906183
pg19,rope,4096,187.93656550641916
arxiv,rope,4096,88.56835812194745
github,rope,4096,67.56315318488704
pg19,rope,5120,268.89764024717743
arxiv,rope,5120,144.78871133371277
github,rope,5120,119.49005734079182
pg19,rope,6144,386.1501752587276
arxiv,rope,6144,215.9333854142817
github,rope,6144,192.2444241468592
pg19,20k_ada_rope,1024,26.11979989967049
arxiv,20k_ada_rope,1024,7.711356340838362
github,20k_ada_rope,1024,4.267845661130498
pg19,20k_ada_rope,2048,59.690497693585115
arxiv,20k_ada_rope,2048,24.350608965421074
github,20k_ada_rope,2048,14.551673485498148
pg19,20k_ada_rope,3072,94.52932851362681
arxiv,20k_ada_rope,3072,48.108774588439566
github,20k_ada_rope,3072,30.520842911628787
pg19,20k_ada_rope,4096,123.43448686453954
arxiv,20k_ada_rope,4096,71.09968515718269
github,20k_ada_rope,4096,47.158631429221245
pg19,20k_ada_rope,5120,145.98332084871916
arxiv,20k_ada_rope,5120,91.98802638249964
github,20k_ada_rope,5120,63.06909318068386
pg19,20k_ada_rope,6144,165.64928592534758
arxiv,20k_ada_rope,6144,110.35868441186277
github,20k_ada_rope,6144,78.28386762789226
pg19,big_rope_10k,1024,22.462985335133382
arxiv,big_rope_10k,1024,6.826080325403325
github,big_rope_10k,1024,3.6612040805415758
pg19,big_rope_10k,2048,40.389622132875886
arxiv,big_rope_10k,2048,13.810773033115419
github,big_rope_10k,2048,8.16016105961284
pg19,big_rope_10k,3072,85.26512291260579
arxiv,big_rope_10k,3072,37.872116029731
github,big_rope_10k,3072,27.088220581599394
pg19,big_rope_10k,4096,129.86607349096533
arxiv,big_rope_10k,4096,68.33404805241526
github,big_rope_10k,4096,55.41393332161013
pg19,big_rope_10k,5120,170.20529551375486
arxiv,big_rope_10k,5120,104.10455761305795
github,big_rope_10k,5120,91.60305638357518
pg19,big_rope_10k,6144,213.62498040575616
arxiv,big_rope_10k,6144,142.8044662945369
github,big_rope_10k,6144,135.84017302139526
pg19,10k_ada_rope,1024,26.29920316920707
arxiv,10k_ada_rope,1024,7.607901976337705
github,10k_ada_rope,1024,4.1567975730604765
pg19,10k_ada_rope,2048,57.15586954881909
arxiv,10k_ada_rope,2048,21.555921912969165
github,10k_ada_rope,2048,12.379046905159623
pg19,10k_ada_rope,3072,92.98403277122675
arxiv,10k_ada_rope,3072,47.779227633819275
github,10k_ada_rope,3072,29.645832694349725
pg19,10k_ada_rope,4096,127.35611881038571
arxiv,10k_ada_rope,4096,78.31982337926125
github,10k_ada_rope,4096,52.40079017630082
pg19,10k_ada_rope,5120,155.09973110403362
arxiv,10k_ada_rope,5120,107.5089049496297
github,10k_ada_rope,5120,75.19595551330274
pg19,10k_ada_rope,6144,178.14878908236318
arxiv,10k_ada_rope,6144,133.8943234093198
github,10k_ada_rope,6144,97.58527621004845
pg19,80k_brand_rope,1024,21.686200363188544
arxiv,80k_brand_rope,1024,6.638817402014437
github,80k_brand_rope,1024,3.5517677775856655
pg19,80k_brand_rope,2048,22.97480594771695
arxiv,80k_brand_rope,2048,6.52415088259908
github,80k_brand_rope,2048,3.5154689916847577
pg19,80k_brand_rope,3072,39.77233263763846
arxiv,80k_brand_rope,3072,13.064119700909794
github,80k_brand_rope,3072,7.603818248367216
pg19,80k_brand_rope,4096,62.21268809390893
arxiv,80k_brand_rope,4096,24.87152117733024
github,80k_brand_rope,4096,16.25548600886107
pg19,80k_brand_rope,5120,83.88671026569908
arxiv,80k_brand_rope,5120,39.615640970538216
github,80k_brand_rope,5120,28.068933381022983
pg19,80k_brand_rope,6144,104.63647406871775
arxiv,80k_brand_rope,6144,55.599179802929456
github,80k_brand_rope,6144,42.2019609577773
