data,model,length,accuracy,perplexity,loss
PG19,llama_longlora_merged,1024,0.5040352940559387,9.988672256469727,2.4716455936431885
PG19,llama_longlora_merged,2048,0.5136414766311646,9.376220703125,2.7235019207000732
PG19,llama_longlora_merged,4096,0.5201482176780701,8.947870254516602,1.9645938873291016
PG19,llama_longlora_merged,8192,0.524458110332489,8.64504623413086,2.2358856201171875
PG19,llama_lora_merged,4096,0.5250145196914673,8.571640968322754,1.93447744846344
PG19,llama_adape,4096,0.5505543947219849,7.2783355712890625,1.7751491069793701
Proof-pile,llama_lora_merged,1024,0.6727052330970764,3.828444242477417,1.2755393981933594
Proof-pile,llama_lora_merged,2048,0.6980130076408386,3.369250774383545,1.031765103340149
Proof-pile,llama_lora_merged,4096,0.7170177102088928,3.06365704536438,1.3201075792312622
PG19,llama_lora_merged,8192,0.5299767851829529,8.19937515258789,2.1928725242614746
Proof-pile,llama_longlora_merged,1024,0.6683744192123413,3.9184346199035645,1.295711636543274
Proof-pile,llama_longlora_merged,2048,0.6930026412010193,3.4548399448394775,1.0444090366363525
Proof-pile,llama_longlora_merged,4096,0.7109822630882263,3.152639627456665,1.351381540298462
Proof-pile,llama_adape,1024,0.6852951049804688,3.6407530307769775,1.2545363903045654
Proof-pile,llama_adape,2048,0.7109843492507935,3.195919990539551,0.9039947986602783
Proof-pile,llama_adape,4096,0.730249285697937,2.900934934616089,1.2855075597763062
Proof-pile,llama_thetalora_merged,8192,0.7244863510131836,2.9335031509399414,1.3778889179229736
Proof-pile,llama_thetalora_merged,4096,0.7123294472694397,3.1213622093200684,1.334693431854248
Proof-pile,llama_thetalora_merged,2048,0.6946731805801392,3.4151315689086914,1.033973217010498
Proof-pile,llama_thetalora_merged,1024,0.6705756187438965,3.8639824390411377,1.3344907760620117
PG19,llama_thetalora_merged,8192,0.5278491377830505,7.99882698059082,2.178666591644287
PG19,llama_thetalora_merged,4096,0.5236352682113647,8.241032600402832,1.891072392463684
PG19,llama_thetalora_merged,2048,0.516941487789154,8.640352249145508,2.6090166568756104
PG19,llama_thetalora_merged,1024,0.5074145793914795,9.257081985473633,2.3872768878936768
